"","edad","hombreFemale","hombreMale","casadoMarried","raza1","raza2","raza3","raza4","miembros","dependent","wdepentwith.dependents","wdepent.","senior","nonsenior","n.seniorhh","n.nonseniorhh","n.childhh","nonsensexOnly.male","nonsensexBoth.female.and.male","nonsensex.","agecompOnly.senior.adults","agecompOnly.children","propietaOwner","habita","precariaHazardous","matprecaLow.quality.material","aguaAccess","banioAccess","cloacasAccess","electAccess","heladeraAccess","lavarropasAccess","aireAccess","telefono.fijoAccess","celularAccess","televisorAccess","tv.cableAccess","videoAccess","computadoraAccess","internet.casaAccess","autoAccess","motoAccess","biciAccess","asisteAttend","aedu","inSchool","region1","region2","region3","region4","urbanoUrban","peaActive","ocupadoEmployed","desocupaUnemployed","hstrt","relabSalaried.worker","relabSelf.employed","relabNot.salaried","relabUnemployed","n.earnhh","earnhhSingle.earners","earnhhMultiple.earners","hhdivisionmale","hhdivisionhead.couple","hhdivisionother","hhdivision.","ecocompSingle.earners.female.w.o.dependets","ecocompSingle.earners.female.with.dependents","ecocompSingle.earners.male.w.o.dependets","ecocompSingle.earners.male.with.dependents","ecocompMultiple.earners.head.couple.w.o.dependets","ecocompMultiple.earners.head.couple.with.dependents","ecocompMultiple.earners.other.w.o.dependets","ecocompMultiple.earners.other.with.dependents","Ytrain"
"2283",45,0,1,1,1,0,0,0,4,0,1,0,0,1,0,2,2,0,1,0,0,0,1,4,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,11,1,1,0,0,0,1,1,1,0,16,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.27945280075073
"6312",58,1,0,0,1,0,0,0,3,0,1,0,0,1,0,2,1,0,1,0,0,0,1,3,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,3,0,0,0,1,0,1,1,1,0,50,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.50065898895264
"4842",67,1,0,0,1,0,0,0,2,1,0,1,1,0,1,1,0,0,0,0,0,0,0,4,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,9,1,0,0,1,0,1,1,1,0,48,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3092",44,0,1,1,1,0,0,0,3,0,1,0,0,1,0,2,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,6,1,0,1,0,0,1,1,1,0,48,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4.59408283233643
"6015",61,1,0,0,1,0,0,0,4,0,1,0,0,1,0,4,0,0,1,0,0,0,1,3,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,2,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5.82558965682983
"6627",57,1,0,0,1,0,0,0,6,0,1,0,0,1,0,3,3,0,1,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,35,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.44219589233398
"6510",34,1,0,0,1,0,0,0,4,0,1,0,0,1,0,2,2,0,1,0,0,0,1,3,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,14,1,0,0,0,1,0,1,1,0,40,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.42834901809692
"3428",42,0,1,1,1,0,0,0,3,0,1,0,0,1,0,2,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,1,1,1,0,72,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4.96004056930542
"575",42,0,1,1,1,0,0,0,6,0,1,0,0,1,0,5,1,0,1,0,0,0,1,3,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,6,1,1,0,0,0,1,1,1,0,40,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.64387369155884
"3071",37,0,1,1,1,0,0,0,5,0,1,0,0,1,0,2,3,0,1,0,0,0,1,3,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.666666686534882,0,1,0,0,0,1,1,0,48,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4.31758308410645
